Year,Country,Military_Expenditure_Billion_USD,Active_Personnel,GDP_Growth_Percent,Inflation_Rate_Percent,Conflict_Severity_Index,Significant_Event
1948,USA,50.97,1421958,1.4,4.55,0,None
1949,USA,47.01,1437337,3.06,6.03,2,None
1950,USA,75.96,2800000,2.97,3.35,7,Korean War
1951,USA,78.28,2800000,2.54,1.72,7,Korean War
1952,USA,96.22,2800000,2.94,0.7,7,Korean War
1953,USA,90.35,2800000,2.74,1.45,7,Korean War
1954,USA,59.86,1387313,1.3,5.84,0,None
1955,USA,61.5,1420174,4.4,7.74,2,None
1956,USA,67.4,1335920,4.15,0.66,1,None
1957,USA,75.08,1378953,1.58,3.2,1,None
1958,USA,80.26,1496769,3.9,2.49,2,None
1959,USA,77.58,1340397,0.48,1.75,1,None
1960,USA,74.3,1386807,-0.19,0.36,0,None
1961,USA,88.51,1351214,-1.25,1.1,2,None
1962,USA,79.21,1339504,4.36,5.03,2,None
1963,USA,92.27,1326854,3.82,3.72,0,None
1964,USA,90.37,1413569,2.01,0.69,1,None
1965,USA,116.98,1494407,3.42,2.05,8,Vietnam War
1966,USA,125.25,1458338,3.22,7.61,8,Vietnam War
1967,USA,135.28,1421626,-2.74,5.47,8,Vietnam War
1968,USA,132.15,3000000,-0.34,6.13,8,Vietnam War
1969,USA,135.59,3000000,-0.34,3.57,8,Vietnam War
1970,USA,163.54,3000000,3.91,4.08,8,Vietnam War
1971,USA,172.49,3000000,2.29,0.13,8,Vietnam War
1972,USA,171.54,3000000,1.1,2.02,8,Vietnam War
1973,USA,161.66,3000000,3.09,3.78,8,Vietnam War
1974,USA,171.9,1436602,-0.33,9.74,2,None
1975,USA,183.81,1497271,2.18,4.21,0,None
1976,USA,139.38,1351005,2.46,2.02,0,None
1977,USA,160.12,1393264,1.62,2.75,0,None
1978,USA,153.8,1477789,2.43,0.51,1,None
1979,USA,176.35,1370467,2.07,8.93,0,None
1980,USA,176.66,1498935,3.21,10.93,1,None
1981,USA,170.98,1380623,1.61,4.13,2,None
1982,USA,197.73,1315708,1.67,5.57,2,None
1983,USA,193.26,1442483,0.38,4.42,0,None
1984,USA,189.33,1400689,3.46,5.78,0,None
1985,USA,220.23,1347254,6.24,4.19,2,None
1986,USA,210.48,1396601,2.53,4.13,0,None
1987,USA,216.45,1403727,2.63,4.5,2,None
1988,USA,257.16,1307400,5.1,0.4,2,None
1989,USA,271.4,1420885,3.74,6.65,2,None
1990,USA,253.01,1305539,2.95,5.54,2,None
1991,USA,267.24,1338360,2.85,0.65,6,Gulf War
1992,USA,280.48,1350108,3.97,0.14,0,None
1993,USA,301.27,1435059,5.19,0.8,2,None
1994,USA,289.48,1344064,3.77,12.18,1,None
1995,USA,340.66,1437965,3.13,3.18,2,None
1996,USA,333.58,1450810,-1.37,0.46,0,None
1997,USA,346.59,1407455,1.75,4.51,2,None
1998,USA,346.11,1409616,-1.07,2.27,1,None
1999,USA,404.04,1363208,2.24,4.02,1,None
2000,USA,360.57,1497307,1.6,5.33,0,None
2001,USA,547.8,1481408,0.65,1.46,7,War on Terror (Afghanistan/Iraq)
2002,USA,595.35,1454165,3.76,8.29,7,War on Terror (Afghanistan/Iraq)
2003,USA,650.93,1311093,-0.11,0.75,7,War on Terror (Afghanistan/Iraq)
2004,USA,668.4,1497392,3.4,8.34,7,War on Terror (Afghanistan/Iraq)
2005,USA,614.61,1482065,3.53,14.56,7,War on Terror (Afghanistan/Iraq)
2006,USA,658.76,1377575,4.41,4.95,7,War on Terror (Afghanistan/Iraq)
2007,USA,642.34,1444475,-0.62,9.0,7,War on Terror (Afghanistan/Iraq)
2008,USA,668.24,1393848,-2.5,3.42,7,War on Terror (Afghanistan/Iraq)
2009,USA,769.24,1427813,-2.5,2.64,7,War on Terror (Afghanistan/Iraq)
2010,USA,802.93,1450580,4.92,2.55,7,War on Terror (Afghanistan/Iraq)
2011,USA,584.44,1470806,2.29,1.54,7,War on Terror (Afghanistan/Iraq)
2012,USA,656.67,1412566,1.03,1.27,7,War on Terror (Afghanistan/Iraq)
2013,USA,632.56,1400235,0.1,2.0,7,War on Terror (Afghanistan/Iraq)
2014,USA,636.24,1477247,6.03,4.21,7,War on Terror (Afghanistan/Iraq)
2015,USA,707.62,1434415,6.77,3.68,7,War on Terror (Afghanistan/Iraq)
2016,USA,756.96,1490710,2.67,1.22,7,War on Terror (Afghanistan/Iraq)
2017,USA,788.07,1393468,2.03,8.62,7,War on Terror (Afghanistan/Iraq)
2018,USA,801.9,1421172,-0.09,2.68,7,War on Terror (Afghanistan/Iraq)
2019,USA,771.0,1404185,5.59,6.97,7,War on Terror (Afghanistan/Iraq)
2020,USA,848.75,1496489,-3.4,10.04,7,War on Terror (Afghanistan/Iraq)
2021,USA,1021.36,1316364,2.1,3.18,7,War on Terror (Afghanistan/Iraq)
2022,USA,1064.27,1490347,5.67,0.71,0,None
2023,USA,1073.56,1393610,2.2,4.76,0,None
2024,USA,1117.42,1382986,3.06,1.13,4,Middle East Deployments
2025,USA,1171.36,1388668,1.32,5.55,4,Middle East Deployments
2026,USA,1154.16,1457164,3.4,2.76,4,Middle East Deployments
1948,Israel,0.51,375735,0.42,1.34,9,Arab-Israeli War
1949,Israel,0.5,163190,7.11,3.68,0,None
1950,Israel,0.53,195069,4.02,7.79,0,None
1951,Israel,0.63,140698,4.78,4.63,2,None
1952,Israel,0.58,194098,2.29,4.96,0,None
1953,Israel,0.68,163576,1.12,5.81,0,None
1954,Israel,0.62,167192,7.63,6.21,2,None
1955,Israel,0.65,163625,4.18,5.25,1,None
1956,Israel,0.77,186732,2.99,0.93,6,Suez Crisis
1957,Israel,0.76,157924,0.84,5.24,0,None
1958,Israel,0.86,181459,4.58,4.44,0,None
1959,Israel,0.89,175909,3.67,10.58,1,None
1960,Israel,0.82,165289,3.4,4.99,1,None
1961,Israel,0.99,195771,5.3,6.61,2,None
1962,Israel,0.91,182956,2.92,0.74,0,None
1963,Israel,0.99,157312,4.45,5.04,0,None
1964,Israel,1.03,170354,4.05,6.49,0,None
1965,Israel,1.1,192638,6.87,2.89,2,None
1966,Israel,1.15,150975,3.71,3.2,0,None
